split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,n,tau,tau_used,c_index,brier
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,oracle,2,840,18.0,18.0,0.7069584095954914,0.1380407259852366
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,naive_km,2,840,18.0,18.0,0.6144627015980363,0.1684924681547431
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,dynasurv,3,438,12.0,12.0,0.6815989846557694,0.1444032691381533
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,oracle,3,438,12.0,12.0,0.7053673640394135,0.1336206611733904
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,naive_km,3,438,12.0,12.0,0.5917034489961481,0.1629008885100074
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,dynasurv,4,198,12.0,12.0,0.6783318652540334,0.1207812520394737
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,oracle,4,198,12.0,12.0,0.7490406337335395,0.1016756374299008
legacy_reused_holdout,1,bestCI,0,0,1.5,gamma,naive_km,4,198,12.0,12.0,0.5813909493247738,0.1479914329532248
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,dynasurv,1,1977,24.0,24.0,0.6922031448557774,0.1738609041214011
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,oracle,1,1977,24.0,24.0,0.7306043683943195,0.1362195472750746
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,naive_km,1,1977,24.0,24.0,0.5659243839589039,0.1714609255750913
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,dynasurv,2,840,18.0,18.0,0.670783636746255,0.1526855484615635
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,oracle,2,840,18.0,18.0,0.7096895564508101,0.1224344809859169
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,naive_km,2,840,18.0,18.0,0.6072208725691847,0.1646819996026351
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,dynasurv,3,438,12.0,12.0,0.674981682118508,0.1526673522599252
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,oracle,3,438,12.0,12.0,0.6831319670578746,0.146708641217392
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,naive_km,3,438,12.0,12.0,0.5818943803383094,0.1752825870779653
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,dynasurv,4,198,12.0,12.0,0.6635461869162355,0.1244199683271558
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,oracle,4,198,12.0,12.0,0.712615756786363,0.1153451102744935
legacy_reused_holdout,1,bestCI,1,1,1.5,gamma,naive_km,4,198,12.0,12.0,0.5090426797178444,0.1578911753456896
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,dynasurv,1,1977,24.0,24.0,0.6791240081259875,0.1871733202872299
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,oracle,1,1977,24.0,24.0,0.7292219251958592,0.139003540677817
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,naive_km,1,1977,24.0,24.0,0.5978653714379887,0.1756111337302929
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,dynasurv,2,840,18.0,18.0,0.6921759862069586,0.1521392203784598
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,oracle,2,840,18.0,18.0,0.7289468601244172,0.1222052712531685
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,naive_km,2,840,18.0,18.0,0.6370061709490309,0.1576612566545981
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,dynasurv,3,438,12.0,12.0,0.6736926553394198,0.1580003917537279
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,oracle,3,438,12.0,12.0,0.7190671073962824,0.1418842408202608
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,naive_km,3,438,12.0,12.0,0.6103982057788605,0.1723601597297871
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,dynasurv,4,198,12.0,12.0,0.669726631859133,0.1325650976364578
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,oracle,4,198,12.0,12.0,0.7168552213735507,0.1122250028552484
legacy_reused_holdout,1,bestCI,2,2,1.5,gamma,naive_km,4,198,12.0,12.0,0.5244473491426784,0.1600802084123275
