split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET+ANTI-CDK wo CT,factual,1624,0.1356714848558049,2.000008148556493,0.1305191097452923
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,MONOCT std alone,factual,880,0.1302473199742184,1.4219750889617124,0.2764139476117498
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,POLYCT alone,factual,455,0.1547243206512009,1.7753977022592915,0.2484824845440035
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET alone,counterfactual,2768,0.1518913513342037,2.0103790726751916,0.3964853857217515
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,ET+ANTI-CDK wo CT,counterfactual,1631,0.1543735478986853,1.9061102831985837,0.2176192412649171
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,MONOCT std alone,counterfactual,2573,0.115612977530164,1.538677367372482,0.5194855504015389
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,naive_km,all,POLYCT alone,counterfactual,2998,0.1393329744669016,1.8282678117497504,0.1718333117001133
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET alone,factual,356,0.1167054983925195,1.5790369395204098,-0.0496891394109687
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,factual,1252,0.1164219895916206,1.6243421968124978,0.7322563705802965
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,MONOCT std alone,factual,181,0.1098784362873524,1.507974111618705,-0.4895761075304953
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,POLYCT alone,factual,188,0.1112388386298134,1.5932331854571398,0.1478123436826317
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET alone,counterfactual,1621,0.1170410518171948,1.641726529491416,-0.0872216800657602
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,ET+ANTI-CDK wo CT,counterfactual,725,0.1195598648886175,1.6397873740545097,0.6776252616214901
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,MONOCT std alone,counterfactual,1796,0.1140441995118264,1.5938006722255147,-0.3857254240493618
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,1,POLYCT alone,counterfactual,1789,0.1079769027309,1.5073739878088916,0.1429239479036812
