split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm_a,arm_b,n,pehe,ate_true,ate_bias,sign_agree
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET alone,ET+ANTI-CDK wo CT,438,0.5159878982751296,-0.2585709532801001,-0.2718920865949304,0.7328767123287672
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET alone,MONOCT std alone,438,0.6250645517642804,-0.0004924416400668,0.2457187354423282,0.7191780821917808
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET alone,POLYCT alone,438,0.9667389259857598,-0.0779958935191082,0.3176812352349208,0.632420091324201
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,MONOCT std alone,438,0.7930861066427835,0.2580785116400332,0.517610851839581,0.819634703196347
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,ET+ANTI-CDK wo CT,POLYCT alone,438,1.07752315564964,0.1805750597609919,0.5895732771263676,0.6255707762557078
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,3,MONOCT std alone,POLYCT alone,438,0.8377374138956095,-0.0775034518790413,0.0719624732498992,0.7054794520547946
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,ET alone,MONOCT std alone,198,0.7674814089693454,0.0767461876171119,0.3163440604907982,0.6666666666666666
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,ET alone,POLYCT alone,198,1.0660287791577665,-0.1092542436295924,0.3591566261226115,0.6414141414141414
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,4,MONOCT std alone,POLYCT alone,198,0.8554942978030584,-0.1860004312467043,0.042812550730652,0.7121212121212122
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET alone,ET+ANTI-CDK wo CT,3255,1.023270953532606,-0.4113355838112941,-0.6673536337561498,0.8599078341013825
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET alone,MONOCT std alone,3453,0.9841761433878348,-0.0244016449794586,0.3013487260684784,0.7408050970170866
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET alone,POLYCT alone,3453,1.5239383884107718,-0.1020339630320796,0.0664453595653304,0.6576889661164205
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,MONOCT std alone,3255,1.5051814737554934,0.3807811674480809,0.9677902522678004,0.7913978494623656
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,POLYCT alone,3255,1.6638694314727744,0.3097408267879112,0.7159934785938638,0.6783410138248848
