split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,policy,line,n,value,regret,hit_rate,abstain_rate
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,line_only,2,840,14.647578952763835,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,line_only,3,438,10.042922712059717,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,line_only,4,198,9.35635165079186,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,line_only,all,3453,17.553285619290435,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,line_only,1,1977,20.81678874131098,0.4559331344347486,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,line_only,2,840,13.927279495825704,0.7202994569381319,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,line_only,3,438,9.686639903636442,0.3562828084232762,0.4315068493150685,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,line_only,4,198,8.647899788252326,0.7084518625395322,0.1262626262626262,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,line_only,all,3453,17.031201434674813,0.5220841846156246,0.5351867940920938,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,random,1,1977,20.471987529168747,0.8007343465769865,0.25,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,random,2,840,13.722997430535935,0.9245815222279008,0.25,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,random,3,438,9.509596019727644,0.5333266923320714,0.25,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,random,4,198,8.836571439414964,0.5197802113768947,0.3333333333333334,0.0
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,reference,random,all,3453,16.772453341575922,0.7808322777145125,0.2547784535186794,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,factual,1,1977,20.720337967650337,0.564075445164996,0.4835609509357612,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,factual,2,840,13.841679332919645,0.8416920949021828,0.2761904761904762,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,factual,3,438,9.51192603095766,0.5205960139594372,0.2351598173515981,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,factual,4,198,8.87147296944596,0.3015328578914103,0.494949494949495,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,factual,all,3453,16.945813510340855,0.6110405661122975,0.4022589052997393,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,best_constant,1,1977,20.83062793661854,0.4537854761967918,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,best_constant,2,840,13.966761438310098,0.7166099895117273,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,reference,best_constant,3,438,9.677404960918985,0.355117083998113,0.4315068493150685,0.0
